Country Code,Country Name,1 - Client Identifier,1 - Number of Characters,1 - Format (Characters: Content),2 - Client Identifier,2 - Number of Characters,2 - Format (Characters: Content),3 - Client Identifier,3 - Number of Characters,3 - Format (Characters: Content),1 - GPT Friendly,2 - GPT Friendly,3 - GPT Friendly
IT,Italy,Fiscal code (Codice fiscale),16,"3: Letters for surname
3: Letters for first name
5: Letters or digits for DOB
4 Letters or digits for place of birth
1: Check letter or digit",,,,,,,3 letters + 3 letters + 5 letters or digits + 4 letters or digits + 1 check letter or digit,,
LI,Litchtenstein,National Passport Number,6,"1: Letter
5: Digits",National Identity Card Number,10,"2: Letters
8: Digits",CONCAT,20,"2: ISO Code
8: DOB (CCYYMMDD)
5: First name
5: Surname",1 letter + 5 digits,2 letters + 8 digits,"Starts with the country code + 8-digit DOB (CCYYMMDD) + 5-char firstname + 5-char surname, padded with #"
LT,Lithuania,Personal code,11,"1: Gender (3 or 5 for males, 4 or 6 for females)
6: DOB (YYMMDD)
3: Serial number
1: Check digit",National Passport Number,8,8: Digits,CONCAT,20,"2: ISO Code
8: DOB (CCYYMMDD)
5: First name
5: Surname","1-digit gender code (can be 3 or 5 for males, 4 or 6 for females) + 6 digit DOB (YYMMDD) + 3-digit serial number + 1-digit check number",8 digits,"Starts with the country code + 8-digit DOB (CCYYMMDD) + 5-char firstname + 5-char surname, padded with #"
LU,Luxemburg,CONCAT,20,"2: ISO Code
8: DOB (CCYYMMDD)
5: First name
5: Surname",,,,,,,"Starts with the country code + 8-digit DOB (CCYYMMDD) + 5-char firstname + 5-char surname, padded with #",,
LV,Latvia,Personal code,11,"6: DOB (DDMMYY)
1: Century sign (0 (19th), 1 (20th), 2 (21st))
4: Digits
or
11: Digits, selected randomly",CONCAT,20,"2: ISO Code
8: DOB (CCYYMMDD)
5: First name
5: Surname",,,,"6-digit DOB (DDMMYY) + 1-digit birth century code (0 for 19th, 1 for 20th and 2 for 21st) + 4 digits
or
11 random digits","Starts with the country code + 8-digit DOB (CCYYMMDD) + 5-char firstname + 5-char surname, padded with #",
MT,Malta,National Identification Number,8,"7: Digits
1: Letter",National Passport Number,"7
or
8","Issued before 15/11/2019
7: Digits
Issued after 15/11/2019
2: Letters
6: Digits",,,,7 digits + 1 letter,"Issued before 15/11/2019
7 digits
Issued after 15/11/2019
2 letters + 6 digits",
NL,Netherlands,National Passport Number,9,"2: Letters (A-Z, except for O)
6: Letters (A-Z, except for O) and Digits (0-9)
1: Digits (0-9)",National identity card number,9,"2: Letters (A-Z, except for O)
6: Letters (A-Z, except for O) and digits (0-9)
1: Digits (0-9)",CONCAT,20,"2: ISO Code
8: DOB (CCYYMMDD)
5: First name
5: Surname",2 letters (not O) + 6 letters (not O) or digits + 1 digit ,2 letters (not O) + 6 letters (not O) or digits + 1 digit ,"Starts with the country code + 8-digit DOB (CCYYMMDD) + 5-char firstname + 5-char surname, padded with #"
NO,Norway,11-digit personal ID,11,"6: DOB (DDMMYY)
5: Digits",CONCAT,20,"2: ISO Code
8: DOB (CCYYMMDD)
5: First name
5: Surname",,,,6 digit-DOB (DDMMYY) + 5 digits,"Starts with the country code + 8-digit DOB (CCYYMMDD) + 5-char firstname + 5-char surname, padded with #",
PL,Poland,"National Identification
Number",11,11: Digits,Tax Number,10,10: Digits,,,,11 digits,10 digits,
PT,Portugal,Tax number,9,"8: Digits
1: Control digit",National Passport Number,"7
or
8","Before 04/2018
1: Letter (A-Z)
6: Digits (0-9)
After 04/2018
2: Letters (A-Z)
6: Digits (0-9)",CONCAT,20,"2: ISO Code
8: DOB (CCYYMMDD)
5: First name
5: Surname",8 digits + 1 control digit,"Before 04/2018
1 letter + 6 digits
After 04/2018
2 letters + 6 digits","Starts with the country code + 8-digit DOB (CCYYMMDD) + 5-char firstname + 5-char surname, padded with #"
RO,Romania,"National Identification
Number",13,"1: Gender and century (born 1900-1999: 1 for males, 2 for females; 1800-1899; 3 for males, 4 for females; After 2000: 5 for males, 6 for females; foreign citizen, RO resident: 7 for males, 8 for females; foreign citizen: 9)
6: DOB (YYMMDD)
2: Place of birth
3: Serial number
1: Control digit",National Passport Number,9,9: Digits,CONCAT,20,"2: ISO Code
8: DOB (CCYYMMDD)
5: First name
5: Surname","1-digit gender and birth century code (if client born in 1900-1999: 1 for males, 2 for females; in 1800-1899: 3 for males, 4 for females; After 2000: 5 for males, 6 for females; foreign citizen, RO resident: 7 for males, 8 for females; foreign citizen: 9) + 6-digit DOB (YYMMDD) + 2-digit code for place of birth + 3-digit serial number + 1 control digit",9 digits,"Starts with the country code + 8-digit DOB (CCYYMMDD) + 5-char firstname + 5-char surname, padded with #"
SE,Sweden,Personal idnetity number,12,"8: DOB (CCYYMMDD
3: Serial number (odd for males, even for females)
1: Control digit",CONCAT,20,"2: ISO Code
8: DOB (CCYYMMDD)
5: First name
5: Surname",,,,"8-digit DOB (CCYYMMDD) + 3-digit serial number (odd for males, even for females) + 1 control digit","Starts with the country code + 8-digit DOB (CCYYMMDD) + 5-char firstname + 5-char surname, padded with #",
SI,Slovenia,Personal Identification Number,13,"7: DOB (DDMMYYY)
2: Digits representing where PIN was assigned
3: Gender and serial number
1: Control digit",CONCAT,20,"2: ISO Code
8: DOB (CCYYMMDD)
5: First name
5: Surname",,,,7-digit DOB (DDMMYYY) + 2 digits + 3-digit gender serial number + 1 control digit,"Starts with the country code + 8-digit DOB (CCYYMMDD) + 5-char firstname + 5-char surname, padded with #",
SK,Slovakia,Personal number,10,"2: Year of birth (YY)
2: Month of birth (MM for males, MM+50 for females)
2: Day of birth (DD)
3: Distinguishing number
1: Check digit",National Passport Number,9,"2: Block letters
7: Digits",CONCAT,20,"2: ISO Code
8: DOB (CCYYMMDD)
5: First name
5: Surname","6-digt DOB (YYXXDD, where XX=MM for males and XX=(MM+50) for females) + 3-digit distinguishing number + 1-digit check number",2 letters + 7 digits,"Starts with the country code + 8-digit DOB (CCYYMMDD) + 5-char firstname + 5-char surname, padded with #"
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
